"colonna1","colonna2"
"The role of host autophagy machinery in controlling Toxoplasma infection","The role of host autophagy machinery in controlling Toxoplasma infection"
"The role of specific Toxoplasma gondii molecules in manipulation of innate immunity","THE ROAD NOT TAKEN: HOST INFECTION STATUS INFLUENCES PARASITE HOST-CHOICE"
"The role of small-scale environmental gradients on trematode infection","The risk of brood parasitism does not affect levels of extrapair paternity in a cuckoo host"
"The role of sex in parasite dynamics:: Model simulations on transmission of Heligmosomoides polygyrus in populations of yellow-necked mice, Apodemus flavicollis","The return to land: association between hairworm infection and aquatic insect development"
"The Role of PI3K/AKT Pathway and NADPH Oxidase 4 in Host ROS Manipulation by Toxoplasma gondii","The result of an arms race:: the chemical strategies of Polistes social parasites"
"The role of parasites and pathogens in influencing generalised anxiety and predation-related fear in the mammalian central nervous system","The relative importance of DNA methylation and Dnmt2-mediated epigenetic regulation on Wolbachia densities and cytoplasmic incompatibility"
"The role of microsporidian polar tube protein 4 (PTP4) in host cell infection","The relative contribution of co-infection to focal infection risk in children"
"THE ROAD NOT TAKEN: HOST INFECTION STATUS INFLUENCES PARASITE HOST-CHOICE","The relationships between faecal egg counts and gut microbial composition in UK Thoroughbreds infected by cyathostomins"
"The risk of brood parasitism does not affect levels of extrapair paternity in a cuckoo host","The proof is in the poo: Non-invasive method to detect endoparasitic infection"
"The return to land: association between hairworm infection and aquatic insect development","The production of excretory-secretory molecules from Heligmosomoides polygyrus bakeri fourth stage larvae varies between mixed and single sex cultures"
"The result of an arms race:: the chemical strategies of Polistes social parasites","The phylogeny of diphyllobothriid tapeworms (Cestoda: Pseudophyllidea) based on ITS-2 rDNA sequences"
"The relative importance of DNA methylation and Dnmt2-mediated epigenetic regulation on Wolbachia densities and cytoplasmic incompatibility","The parasitism of Flamingolepis liguloides (Gervais, 1847) (Cestoda, Hymenolepididae) in Artemia salina (Crustacea, Branchiopoda) in two saline lakes in Algeria"
"The relative contribution of co-infection to focal infection risk in children","The parasitic wasp Cotesia congregata uses multiple mechanisms to control host (Manduca sexta) behaviour"
"The relationships between faecal egg counts and gut microbial composition in UK Thoroughbreds infected by cyathostomins","The parasitic nematode Phasmarhabditis hermaphrodita defends its slug host from being predated or scavenged by manipulating host spatial behaviour"
"The proof is in the poo: Non-invasive method to detect endoparasitic infection","The parasite's long arm: a tapeworm parasite induces behavioural changes in uninfected group members of its social host"
"The production of excretory-secretory molecules from Heligmosomoides polygyrus bakeri fourth stage larvae varies between mixed and single sex cultures","The parasite-induced surfacing behaviour in the cockle Austrovenus stutchburyi:: a test of an alternative hypothesis and identification of potential mechanisms"
"The phylogeny of diphyllobothriid tapeworms (Cestoda: Pseudophyllidea) based on ITS-2 rDNA sequences","The parasite Schistocephalus solidus secretes proteins with putative host manipulation functions"
"The parasitism of Flamingolepis liguloides (Gervais, 1847) (Cestoda, Hymenolepididae) in Artemia salina (Crustacea, Branchiopoda) in two saline lakes in Algeria","The Parasite Load of Trypanosoma cruzi Modulates Feeding and Defecation Patterns of the Chagas Disease Vector Triatoma infestans"
"The parasitic wasp Cotesia congregata uses multiple mechanisms to control host (Manduca sexta) behaviour","The Occurrence and Parasite-Host of Ligula intestinalis in Sattarkhan Lake (East Azerbaijan-Iran)"
"The parasitic nematode Phasmarhabditis hermaphrodita defends its slug host from being predated or scavenged by manipulating host spatial behaviour","The Null Hypothesis of IFN-γ and Monocyte Function in Leishmaniasis"
"The Occurrence and Parasite-Host of Ligula intestinalis in Sattarkhan Lake (East Azerbaijan-Iran)","The nature of the immune response in novel Wolbachia-host associations"
"The Null Hypothesis of IFN-γ and Monocyte Function in Leishmaniasis","The Mutualistic Side of Wolbachia-Isopod Interactions: Wolbachia Mediated Protection Against Pathogenic Intracellular Bacteria"
"The nature of the immune response in novel Wolbachia-host associations","The muscle dwelling myxozoan, Kudoa inornata, enhances swimming performance in the spotted seatrout, Cynoscion nebulosus"
"The Mutualistic Side of Wolbachia-Isopod Interactions: Wolbachia Mediated Protection Against Pathogenic Intracellular Bacteria","The mud flat anemone-cockle association: mutualism in the intertidal zone?"
"The muscle dwelling myxozoan, Kudoa inornata, enhances swimming performance in the spotted seatrout, Cynoscion nebulosus","The morphology and biology of the entomophilic Thripinema fuscum (Tylenchida: Allantonematidae), and the histopathological effects of parasitism on the host Frankliniella fusca (Thysanoptera: Thripidae)"
"The mud flat anemone-cockle association: mutualism in the intertidal zone?","The molecular mechanisms of larval cestode development:: First steps into an unknown world"
"The morphology and biology of the entomophilic Thripinema fuscum (Tylenchida: Allantonematidae), and the histopathological effects of parasitism on the host Frankliniella fusca (Thysanoptera: Thripidae)","The missing link in parasite manipulation of host behaviour"
"The molecular mechanisms of larval cestode development:: First steps into an unknown world","The microbiota regulate neuronal function and fear extinction learning"
"The missing link in parasite manipulation of host behaviour","The metabolic alteration and apparent preservation of the zombie ant brain"
"The microbiota regulate neuronal function and fear extinction learning","The manipulation of rat behaviour by Toxoplasma gondii"
"The metabolic alteration and apparent preservation of the zombie ant brain","The malaria parasite, Plasmodium falciparum, increases the frequency of multiple feeding of its mosquito vector, Anopheles gambiae"
"The malaria parasite, Plasmodium falciparum, increases the frequency of multiple feeding of its mosquito vector, Anopheles gambiae","The Major Cellular Sterol Regulatory Pathway Is Required for Andes Virus Infection"
"The Major Cellular Sterol Regulatory Pathway Is Required for Andes Virus Infection","The Life of a Dead Ant: The Expression of an Adaptive Extended Phenotype"
"The Life of a Dead Ant: The Expression of an Adaptive Extended Phenotype","The Jekyll and Hyde Symbiont: Could Wolbachia Be a Nutritional Mutualist?"
"The Jekyll and Hyde Symbiont: Could Wolbachia Be a Nutritional Mutualist?","The Intracellular Symbiont Wolbachia pipientis Enhances Recombination in a Dose-Dependent Manner"
"The Intracellular Symbiont Wolbachia pipientis Enhances Recombination in a Dose-Dependent Manner","The intestinal nematode Trichuris arvicolae affects the fecundity of its host, the common vole Microtus arvalis"
"The intestinal nematode Trichuris arvicolae affects the fecundity of its host, the common vole Microtus arvalis","The intersection of host in vivo metabolism and immune responses to infection with kinetoplastid and apicomplexan parasites"
"The intersection of host in vivo metabolism and immune responses to infection with kinetoplastid and apicomplexan parasites","The interactive effects of parasitesf disturbance, and productivity on experimental adaptive radiations"
"The interactive effects of parasitesf disturbance, and productivity on experimental adaptive radiations","The ins and outs of phosphosignalling in Plasmodium: Parasite regulation and host cell manipulation"
"The ins and outs of phosphosignalling in Plasmodium: Parasite regulation and host cell manipulation","The influence of RhD phenotype on toxoplasmosis- and age-associated changes in personality profile of blood donors"
"The influence of parasite load on transcriptional activity and morphology of a cestode and its ant intermediate host","The influence of parasites"
"The influence of Monocystis sp infection on growth and mating behaviour of the earthworm Lumbricus terrestris","The influence of parasite load on transcriptional activity and morphology of a cestode and its ant intermediate host"
